CID,IUPAC name,InChI,temp,group,pKa
C1223989,4-nitrobenzenesulfonic acid,"InChI=1S/C6H5NO5S/c8-7(9)5-1-3-6(4-2-5)13(10,11)12/h1-4H,(H,10,11,12)",36,H18,-7.15
C98475,3-nitrobenzenesulfonic acid,"InChI=1S/C6H5NO5S/c8-7(9)5-2-1-3-6(4-5)13(10,11)12/h1-4H,(H,10,11,12)",36,H18,-7.1
C1643692,3-(trifluoromethyl)benzenesulfonic acid,"InChI=1S/C7H5F3O3S/c8-7(9,10)5-2-1-3-6(4-5)14(11,12)13/h1-4H,(H,11,12,13)",36,H19,-6.93
C138363,4-bromobenzenesulfonic acid,"InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)",36,H16,-6.72
C71083595,4-oxo-1H-quinoline-3-carbonitrile,"InChI=1S/C10H6N2O/c11-5-7-6-12-9-4-2-1-3-8(9)10(7)13/h1-4,6H,(H,12,13)",20,H14,-2.08
C62054233,2H-phthalazin-1-one,"InChI=1S/C8H6N2O/c11-8-7-4-2-1-3-6(7)5-9-10-8/h1-5H,(H,10,11)",20,H17,-2.0
C129016359,1H-pyridazin-6-one,"InChI=1S/C4H4N2O/c7-4-2-1-3-5-6-4/h1-3H,(H,6,7)",20,H10,-1.8
C2637345,1H-pyridine-2-thione,"InChI=1S/C5H5NS/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)",20,H8,-1.22
C24867274,"6-morpholin-4-ylpyrimidine-2,4-diamine","InChI=1S/C8H13N5O/c9-6-5-7(12-8(10)11-6)13-1-3-14-4-2-13/h5H,1-4H2,(H4,9,10,11,12)",20,H24,-0.35
C134434325,2H-cinnolin-3-one,"InChI=1S/C8H6N2O/c11-8-5-6-3-1-2-4-7(6)9-10-8/h1-5H,(H,10,11)",20,H17,9.47
C76051,"2,2,2-trifluoroacetic acid","InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)",23,H8,0.23
C643629,10H-acridin-9-one,"InChI=1S/C13H9NO/c15-13-9-5-1-3-7-11(9)14-12-8-4-2-6-10(12)13/h1-8H,(H,14,15)",20,H16,0.32
C708101,"3-hydroxy-4-phenylcyclobut-3-ene-1,2-dione","InChI=1S/C10H6O3/c11-8-7(9(12)10(8)13)6-4-2-1-3-5-6/h1-5,11H",20,H19,0.37
C2849936,1H-benzimidazole-2-carboxylic acid,"InChI=1S/C8H6N2O2/c11-8(12)7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H,9,10)(H,11,12)",24.9,H18,0.4
C14003340,3-methyl-1H-quinoxalin-2-one,"InChI=1S/C9H8N2O/c1-6-9(12)11-8-5-3-2-4-7(8)10-6/h2-5H,1H3,(H,11,12)",20,H13,0.48
C67341531,6-methyl-3-phenyl-1H-pyrazin-2-one,"InChI=1S/C11H10N2O/c1-8-7-12-10(11(14)13-8)9-5-3-2-4-6-9/h2-7H,1H3,(H,13,14)",25,H15,0.7
C76076272,1H-quinoline-4-thione,"InChI=1S/C9H7NS/c11-9-5-6-10-8-4-2-1-3-7(8)9/h1-6H,(H,10,11)",20,H12,0.77
C4116385,"1,3-dimethyl-2,6-dioxopyrimidine-4-carboxylic acid","InChI=1S/C7H8N2O4/c1-8-4(6(11)12)3-5(10)9(2)7(8)13/h3H,1-2H3,(H,11,12)",,H21,0.8
C934601,6-methylpyridine-2-carboxylic acid,"InChI=1S/C7H7NO2/c1-5-3-2-4-6(8-5)7(9)10/h2-4H,1H3,(H,9,10)",25,H17,0.9
C17417571,1H-pyridazin-4-one,"InChI=1S/C4H4N2O/c7-4-1-2-5-6-3-4/h1-3H,(H,5,7)",20,H11,1.07
C105664731,"2,3-dimethyl-7H-imidazo[4,5-g]quinazoline-4,8,9-trione","InChI=1S/C11H8N4O3/c1-4-14-7-8(15(4)2)10(17)6-5(9(7)16)11(18)13-3-12-6/h3H,1-2H3,(H,12,13,18)",30,H25,1.15
C13257959,3-nitrobenzenesulfinic acid,"InChI=1S/C6H5NO4S/c8-7(9)5-2-1-3-6(4-5)12(10)11/h1-4H,(H,10,11)",25,H17,1.21
C611734,2-oxo-2-phenylacetic acid,"InChI=1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,(H,10,11)",25,H17,1.22
C88161539,pyridine-2-carboxylic acid,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",23,H14,1.25
C563962,oxaldehydic acid,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",25,H7,1.26
C7471581,1H-quinazolin-2-one,"InChI=1S/C8H6N2O/c11-8-9-5-6-3-1-2-4-7(6)10-8/h1-5H,(H,9,10,11)",20,H14,1.3
C1462868,3-aminopyridine-2-carboxylic acid,"InChI=1S/C6H6N2O2/c7-4-2-1-3-8-5(4)6(9)10/h1-3H,7H2,(H,9,10)",25,H16,1.33
C7470420,5-acetyl-6-hydroxy-4-methylpyran-2-one,"InChI=1S/C8H8O4/c1-4-3-6(10)12-8(11)7(4)5(2)9/h3,11H,1-2H3",20,H20,1.34
C36799481,"2-(3,4-dimethylphenyl)-2-oxoacetic acid","InChI=1S/C10H10O3/c1-6-3-4-8(5-7(6)2)9(11)10(12)13/h3-5H,1-2H3,(H,12,13)",25,H23,1.36
C610162,2-(dimethylamino)benzoic acid,"InChI=1S/C9H11NO2/c1-10(2)8-6-4-3-5-7(8)9(11)12/h3-6H,1-2H3,(H,11,12)",25,H23,1.4
C83848593,5-nitroquinoline-8-carboxylic acid,"InChI=1S/C10H6N2O4/c13-10(14)7-3-4-8(12(15)16)6-2-1-5-11-9(6)7/h1-5H,(H,13,14)",,H22,1.41
C5344490,2-chloro-6-nitrobenzoic acid,"InChI=1S/C7H4ClNO4/c8-4-2-1-3-5(9(12)13)6(4)7(10)11/h1-3H,(H,10,11)",25,H17,1.41
C103204837,"2-(2,5-dimethylphenyl)-2-oxoacetic acid","InChI=1S/C10H10O3/c1-6-3-4-7(2)8(5-6)9(11)10(12)13/h3-5H,1-2H3,(H,12,13)",25,H23,1.45
C53817166,"2H-triazole-4,5-dicarbonitrile","InChI=1S/C4HN5/c5-1-3-4(2-6)8-9-7-3/h(H,7,8,9)",25,H10,1.47
C499058,4-oxopyran-2-carboxylic acid,"InChI=1S/C6H4O4/c7-4-1-2-10-5(3-4)6(8)9/h1-3H,(H,8,9)",25,H14,1.5
C1083018,4-oxo-6-phenylpyran-2-carboxylic acid,"InChI=1S/C12H8O4/c13-9-6-10(8-4-2-1-3-5-8)16-11(7-9)12(14)15/h1-7H,(H,14,15)",25,H24,1.51
C7163500,2-(4-methylphenyl)-2-oxoacetic acid,"InChI=1S/C9H8O3/c1-6-2-4-7(5-3-6)8(10)9(11)12/h2-5H,1H3,(H,11,12)",,H20,1.52
C96627600,"4-(1,3-thiazol-2-yldiazenyl)benzene-1,3-diol","InChI=1S/C9H7N3O2S/c13-6-1-2-7(8(14)5-6)11-12-9-10-3-4-15-9/h1-5,13-14H",20,H22,1.56
C21047778,"1-hydroxy-4,6-dinitrobenzotriazole","InChI=1S/C6H3N5O5/c12-9-4-1-3(10(13)14)2-5(11(15)16)6(4)7-8-9/h1-2,12H",30,H19,1.6
C495987,"3,6-bis(2-methylpropyl)-1H-pyrazin-2-one","InChI=1S/C12H20N2O/c1-8(2)5-10-7-13-11(6-9(3)4)12(15)14-10/h7-9H,5-6H2,1-4H3,(H,14,15)",,H34,1.7
C618417,benzenesulfinic acid,"InChI=1S/C6H6O2S/c7-9(8)6-4-2-1-3-5-6/h1-5H,(H,7,8)",24,H15,1.72
C71133227,5-methoxy-1H-pyrimidin-6-one,"InChI=1S/C5H6N2O2/c1-9-4-2-6-3-7-5(4)8/h2-3H,1H3,(H,6,7,8)",20,H10,1.75
C128449,"1,1-dioxo-1,2-benzothiazol-3-one","InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",18,H13,1.76
C1199266788,quinoline-2-carboxylic acid,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)",19,H20,1.79
C38346951,4-morpholin-4-ylbut-2-ynoic acid,"InChI=1S/C8H11NO3/c10-8(11)2-1-3-9-4-6-12-7-5-9/h3-7H2,(H,10,11)",20,H23,1.79
C109100369,4-methylbenzenesulfinic acid,"InChI=1S/C7H8O2S/c1-6-2-4-7(5-3-6)10(8)9/h2-5H,1H3,(H,8,9)",25,H18,1.82
C4403730,phenylmethanesulfinic acid,"InChI=1S/C7H8O2S/c8-10(9)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,8,9)",20,H18,1.86
C26969448,prop-2-ynoic acid,"InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)",25,H6,1.89
C86599,quinoline-8-carboxylic acid,"InChI=1S/C10H7NO2/c12-10(13)8-5-1-3-7-4-2-6-11-9(7)8/h1-6H,(H,12,13)",23,H20,1.9
C16900531,3-bromoprop-2-ynoic acid,"InChI=1S/C3HBrO2/c4-2-1-3(5)6/h(H,5,6)",25,H7,1.9
C27062391,"2-hydroxyethene-1,1,2-tricarbonitrile",InChI=1S/C5HN3O/c6-1-4(2-7)5(9)3-8/h9H,,H10,1.9
C31603062,2-phenyl-1-(2H-tetrazol-5-yl)ethanamine,"InChI=1S/C9H11N5/c10-8(9-11-13-14-12-9)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12,13,14)",25,H25,1.93
C20950849,2-aminoethylcarbamodithioic acid,"InChI=1S/C3H8N2S2/c4-1-2-5-3(6)7/h1-2,4H2,(H2,5,6,7)",25,H15,2.0
C3970352,2-chloro-3-nitrobenzoic acid,"InChI=1S/C7H4ClNO4/c8-6-4(7(10)11)2-1-3-5(6)9(12)13/h1-3H,(H,10,11)",25,H17,2.02
C491338,quinoline-8-thiol,"InChI=1S/C9H7NS/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H",20,H18,2.05
