predicted pKa: -6.644, reference pKa: -6.560
predicted pKa: 4.117, reference pKa: 0.850
predicted pKa: 3.158, reference pKa: 1.000
predicted pKa: 1.750, reference pKa: 1.340
predicted pKa: 2.126, reference pKa: 1.370
predicted pKa: 2.151, reference pKa: 1.790
predicted pKa: 0.470, reference pKa: 1.860
predicted pKa: 1.975, reference pKa: 1.890
predicted pKa: 2.490, reference pKa: 1.940
predicted pKa: 2.279, reference pKa: 1.960
predicted pKa: 4.163, reference pKa: 2.080
predicted pKa: 3.830, reference pKa: 2.130
predicted pKa: 3.316, reference pKa: 2.200
predicted pKa: 2.537, reference pKa: 2.210
predicted pKa: 2.857, reference pKa: 2.230
predicted pKa: -0.136, reference pKa: 2.240
predicted pKa: 2.847, reference pKa: 2.260
predicted pKa: 3.267, reference pKa: 2.510
predicted pKa: 2.910, reference pKa: 2.550
predicted pKa: 2.992, reference pKa: 2.610
predicted pKa: 3.073, reference pKa: 2.630
predicted pKa: 2.876, reference pKa: 2.670
predicted pKa: 2.694, reference pKa: 2.710
predicted pKa: 4.396, reference pKa: 2.750
predicted pKa: 3.020, reference pKa: 2.760
predicted pKa: 3.110, reference pKa: 2.910
predicted pKa: 2.926, reference pKa: 2.960
predicted pKa: 2.784, reference pKa: 2.970
predicted pKa: 2.875, reference pKa: 3.000
predicted pKa: 3.046, reference pKa: 3.000
predicted pKa: 2.720, reference pKa: 3.100
predicted pKa: 3.398, reference pKa: 3.170
predicted pKa: 2.900, reference pKa: 3.220
predicted pKa: 3.591, reference pKa: 3.220
predicted pKa: 3.896, reference pKa: 3.230
predicted pKa: 3.226, reference pKa: 3.240
predicted pKa: 2.603, reference pKa: 3.300
predicted pKa: 3.370, reference pKa: 3.370
predicted pKa: 3.473, reference pKa: 3.380
predicted pKa: 3.609, reference pKa: 3.410
predicted pKa: 3.661, reference pKa: 3.430
predicted pKa: 3.445, reference pKa: 3.440
predicted pKa: 3.365, reference pKa: 3.450
predicted pKa: 3.631, reference pKa: 3.510
predicted pKa: 3.227, reference pKa: 3.530
predicted pKa: 3.816, reference pKa: 3.550
predicted pKa: 4.470, reference pKa: 3.590
predicted pKa: 5.061, reference pKa: 3.600
predicted pKa: 3.841, reference pKa: 3.610
predicted pKa: 3.709, reference pKa: 3.640
predicted pKa: 3.394, reference pKa: 3.660
predicted pKa: 4.162, reference pKa: 3.690
predicted pKa: 1.816, reference pKa: 3.700
predicted pKa: 4.060, reference pKa: 3.730
predicted pKa: 3.527, reference pKa: 3.750
predicted pKa: 4.114, reference pKa: 3.790
predicted pKa: 3.724, reference pKa: 3.820
predicted pKa: 3.374, reference pKa: 3.840
predicted pKa: 4.141, reference pKa: 3.860
predicted pKa: 4.871, reference pKa: 3.900
predicted pKa: 4.072, reference pKa: 3.920
predicted pKa: 3.920, reference pKa: 3.950
predicted pKa: 4.025, reference pKa: 3.960
predicted pKa: 4.311, reference pKa: 4.020
predicted pKa: 4.077, reference pKa: 4.030
predicted pKa: 2.542, reference pKa: 4.040
predicted pKa: 4.325, reference pKa: 4.050
predicted pKa: 4.081, reference pKa: 4.060
predicted pKa: 4.062, reference pKa: 4.090
predicted pKa: 4.139, reference pKa: 4.130
predicted pKa: 7.077, reference pKa: 4.150
predicted pKa: 3.432, reference pKa: 4.160
predicted pKa: 4.257, reference pKa: 4.170
predicted pKa: 3.912, reference pKa: 4.180
predicted pKa: 4.283, reference pKa: 4.180
predicted pKa: 4.354, reference pKa: 4.200
predicted pKa: 4.418, reference pKa: 4.230
predicted pKa: 4.334, reference pKa: 4.240
predicted pKa: 4.249, reference pKa: 4.250
predicted pKa: 3.805, reference pKa: 4.270
predicted pKa: 4.303, reference pKa: 4.280
predicted pKa: 4.147, reference pKa: 4.280
predicted pKa: 3.886, reference pKa: 4.300
predicted pKa: 4.433, reference pKa: 4.310
predicted pKa: 4.368, reference pKa: 4.340
predicted pKa: 4.365, reference pKa: 4.350
predicted pKa: 6.624, reference pKa: 4.400
predicted pKa: 4.634, reference pKa: 4.460
predicted pKa: 4.652, reference pKa: 4.480
predicted pKa: 3.865, reference pKa: 4.540
predicted pKa: 5.063, reference pKa: 4.550
predicted pKa: 4.601, reference pKa: 4.570
predicted pKa: 4.488, reference pKa: 4.590
predicted pKa: 4.632, reference pKa: 4.630
predicted pKa: 4.651, reference pKa: 4.690
predicted pKa: 5.165, reference pKa: 4.700
predicted pKa: 4.966, reference pKa: 4.790
predicted pKa: 2.499, reference pKa: 4.840
predicted pKa: 5.497, reference pKa: 4.880
predicted pKa: 4.841, reference pKa: 4.890
predicted pKa: 6.630, reference pKa: 5.000
predicted pKa: 4.710, reference pKa: 5.040
predicted pKa: 6.871, reference pKa: 5.060
predicted pKa: 2.114, reference pKa: 5.150
predicted pKa: 8.134, reference pKa: 5.200
predicted pKa: 5.004, reference pKa: 5.250
predicted pKa: 5.245, reference pKa: 5.280
predicted pKa: 6.983, reference pKa: 5.460
predicted pKa: 5.672, reference pKa: 5.480
predicted pKa: 5.599, reference pKa: 5.500
predicted pKa: 4.473, reference pKa: 5.550
predicted pKa: 8.134, reference pKa: 5.640
predicted pKa: 4.987, reference pKa: 5.650
predicted pKa: 5.341, reference pKa: 5.700
predicted pKa: 6.065, reference pKa: 5.750
predicted pKa: 5.743, reference pKa: 5.840
predicted pKa: 6.645, reference pKa: 5.890
predicted pKa: 6.882, reference pKa: 5.910
predicted pKa: 5.899, reference pKa: 5.960
predicted pKa: 6.622, reference pKa: 6.000
predicted pKa: 6.262, reference pKa: 6.000
predicted pKa: 6.207, reference pKa: 6.130
predicted pKa: 6.327, reference pKa: 6.150
predicted pKa: 7.872, reference pKa: 6.200
predicted pKa: 7.468, reference pKa: 6.230
predicted pKa: 6.323, reference pKa: 6.280
predicted pKa: 5.340, reference pKa: 6.300
predicted pKa: 8.101, reference pKa: 6.330
predicted pKa: 6.271, reference pKa: 6.360
predicted pKa: 6.554, reference pKa: 6.380
predicted pKa: 6.386, reference pKa: 6.390
predicted pKa: 6.502, reference pKa: 6.420
predicted pKa: 6.325, reference pKa: 6.480
predicted pKa: 6.907, reference pKa: 6.500
predicted pKa: 7.422, reference pKa: 6.620
predicted pKa: 8.516, reference pKa: 6.630
predicted pKa: 6.517, reference pKa: 6.730
predicted pKa: 6.743, reference pKa: 6.750
predicted pKa: 8.842, reference pKa: 6.760
predicted pKa: 6.959, reference pKa: 6.830
predicted pKa: 6.619, reference pKa: 6.880
predicted pKa: 7.416, reference pKa: 6.910
predicted pKa: 8.038, reference pKa: 6.920
predicted pKa: 6.837, reference pKa: 7.020
predicted pKa: 9.546, reference pKa: 7.050
predicted pKa: 6.764, reference pKa: 7.120
predicted pKa: 6.991, reference pKa: 7.130
predicted pKa: 8.356, reference pKa: 7.150
